ID,Unit,Passed,Equality Limit,Upper Limit,Lower Limit,Value
P12VC_1,A,True, ,13.2,10.8,11.973733
FAN_P12VA_1,A,True, ,13.2,10.8,11.973136
ABSOLUTE_ENC_SPI_MISO_PLUS_1,A,True,1, , ,1
EXT_LTE_MODEM__USB_5V_1A_1,A,True, ,5.5,4.5,4.9532287
RLAY24_1_PLUS_1,A,True, ,24.5,23.5,24.28518
ENCODER2_BCH_PLUS_1,A,True,1, , ,1
IFM_FRONT_P24VC_1,A,True, ,24.5,23.5,24.296416
STRT_PAUSE_P3V3B_1,A,True, ,3.5,3.1,3.3214701
ENCODER1_BCH_MINUS_1,A,True,0, , ,0
ABSOLUTE_ENC_SPI_MISO_MINUS_1,A,True,0, , ,0
STER_PWMA_1,A,True, ,3.6,3.0,3.3158144
RLAY12_1_PLUS_1,A,True, ,13.2,10.8,11.944644
H_LIDAR_P12VD_1,A,True, ,13.2,10.8,11.973517
ENCODER2_ACH_PLUS_1,A,True,1, , ,1
P5VK_1,A,True, ,5.5,4.5,5.0000846
RLAY24_2_PLUS_1,A,True, ,24.5,23.5,24.283975
SERVICE_1,A,True,1, , ,1
LEFT_CAM_P5VC_1,A,True, ,5.5,4.5,4.9949673
DUT_CURRENT_1,A,True, ,2.1,0.8,0.8128
P5VG_1,A,True, ,5.5,4.5,4.999983
ENCODER2_ACH_MINUS_1,A,True,0, , ,0
TRACTION_ENCODER_P5VJ_1,A,True, ,5.5,4.5,5.0000973
SLANTED_LIDAR_P12VB_1,A,True, ,13.2,10.8,11.97306
P5VE_1,A,True, ,5.5,4.5,4.9963006
IMU_GYRO_1,A,True,1, , ,True
USB_VERIFY_1,A,True, ,8.0,5.0,6
C_ANH_1,A,True, ,2.5,2.4,2.4525683
STEERING_3V_P3V3A_1,A,True, ,3.5,3.1,3.3229811
P5VF_1,A,True, ,5.5,4.5,4.9825485
RLAY24_2_MINUS_1,A,True, ,0.1,0.0,0.008300141
USB_5V_1B_1,A,True, ,5.5,4.5,4.9544858
KEY_SENSE_1,A,True,1, , ,1
ABSOLUTE_ENC_SPI_CLK_PLUS_1,A,True, ,5.1,4.8,4.9931444
P24VA_1,A,True, ,24.5,23.5,24.296673
STER_PWMB_1,A,True, ,3.6,3.0,3.3157877
ESTOP1_OUT_1,A,True, ,0.1,0.0,0.000426881
MASTER_POWER_OUT_1,A,True, ,3.6,3.0,3.3158811
IFM_LEFT_P24VD_1,A,True, ,24.5,23.5,24.296801
STER_ENA_1,A,True, ,3.6,3.0,3.3158144
LEFT_IFM_1,A,True,1, , ,1
STER_MTR_DIS_1,A,True, ,3.6,3.0,3.3158277
ABSOLUTE_ENC_SPI_CLK_MINUS_1,A,True, ,5.1,4.8,4.9932912
STEERING_P5VH_1,A,True, ,5.5,4.5,4.9999322
FRONT_IFM_1,A,True,1, , ,1
SWITCH_1,A,True,1, , ,1
C_ANL_1,A,True, ,2.5,2.4,2.4525282
RLAY24_1_MINUS_1,A,True, ,0.1,0.0,0.008185329
ENCODER1_ACH_PLUS_1,A,True,1, , ,1
_4_20MA_IN_1_1,A,True, ,0.7,0.0,0.5
ENCODER2_BCH_MINUS_1,A,True,0, , ,0
_4_20MA_IN_2_1,A,True, ,0.7,0.0,0.0
ENCODER1_ACH_MINUS_1,A,True,0, , ,0
RLAY12_2_MINUS_1,A,True, ,0.1,0.0,0.007517504
IFM_RIGHT_P24VB_1,A,True, ,24.5,23.5,24.296801
DUT_VOLTAGE_1,A,True, ,20.1,19.9,20.002
IMU_1,A,True,1, , ,True
RLAY12_2_PLUS_1,A,True, ,13.2,10.8,11.942708
ABSOLUTE_ENCODER_P5VI_1,A,True, ,5.5,4.5,5.0000465
STER_FLT_1,A,True,1, , ,1
BIOS_1,A,True,1, , ,1
STER_CUR_1,A,True,0.0, , ,0.0
P5VD_1,A,True, ,5.5,4.5,4.9963387
RIGHT_CAM_P5VB_1,A,True, ,5.5,4.5,4.9665236
RIGHT_IFM_1,A,True,1, , ,1
RLAY12_1_MINUS_1,A,True, ,0.1,0.0,0.006902556
ENCODER1_BCH_PLUS_1,A,True,1, , ,1
FRONT_CAM_P5VA_1,A,True, ,5.5,4.5,4.981647
RIGHT_CAM_P5VB_2,A,True, ,5.5,4.5,4.9665109
P12VC_2,A,True, ,13.2,10.8,11.943829
FAN_P12VA_2,A,True, ,13.2,10.8,11.943156
EXT_LTE_MODEM__USB_5V_1A_2,A,True, ,5.5,4.5,4.9533048
P24VA_2,A,True, ,24.5,23.5,24.478251
KEY_SENSE_2,A,True,1, , ,1
RLAY24_1_PLUS_2,A,True, ,24.5,23.5,24.288393
_4_20MA_IN_2_2,A,True, ,3.2,2.4,2.6
SL_LIDAR_2,A,True,1, , ,1
IFM_FRONT_P24VC_2,A,True, ,24.5,23.5,24.478765
P5VF_2,A,True, ,5.5,4.5,4.9825739
STRT_PAUSE_P3V3B_2,A,True, ,3.5,3.1,3.3214701
RLAY12_1_PLUS_2,A,True, ,13.2,10.8,11.948595
H_LIDAR_P12VD_2,A,True, ,13.2,10.8,11.943842
RLAY24_2_PLUS_2,A,True, ,24.5,23.5,24.28933
P5VK_2,A,True, ,5.5,4.5,4.999856
SERVICE_2,A,True,1, , ,1
LEFT_CAM_P5VC_2,A,True, ,5.5,4.5,4.9949165
RLAY24_2_MINUS_2,A,True, ,24.5,23.5,24.279289
DUT_CURRENT_2,A,True, ,2.1,0.8,0.8147
P5VG_2,A,True, ,5.5,4.5,4.9998306
C_ANL_2,A,True, ,2.5,2.4,2.4525683
TRACTION_ENCODER_P5VJ_2,A,True, ,5.5,4.5,4.9998814
SLANTED_LIDAR_P12VB_2,A,True, ,13.2,10.8,11.943194
P5VE_2,A,True, ,5.5,4.5,4.9962879
STEERING_3V_P3V3A_2,A,True, ,3.5,3.1,3.322943
USB_5V_1B_2,A,True, ,5.5,4.5,4.9542953
ESTOP1_OUT_2,A,True, ,0.1,0.0,0.000396113
C_ANH_2,A,True, ,2.5,2.4,2.452595
IFM_LEFT_P24VD_2,A,True, ,24.5,23.5,24.478893
LEFT_IFM_2,A,True,1, , ,1
PL_LIDAR_2,A,True,1, , ,1
STEERING_P5VH_2,A,True, ,5.5,4.5,4.9997545
FRONT_IFM_2,A,True,1, , ,1
SWITCH_2,A,True,1, , ,1
